LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
"MO","MISSOURI","2901000","COLUMBIA 93","00312","SHEPARD BLVD. ELEM.","290100000312","DD",0,0,1,0,1,0,1,0,1,0,0,1,0,0,5,0,3,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2929520","STOCKTON R-I","02043","STOCKTON ELEM.","292952002043","DD",0,0,0,1,0,0,5,0,0,0,0,0,0,1,7,0,6,0,1,0,0,0,2,1,2,0,1,0,0,0,0,1,0,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","02026","WOODWARD ELEM.","292928002026","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2923340","GASCONADE CO. R-II","01343","GERALD ELEM.","292334001343","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","02646","WILKINSON EARLY CHILDHOOD CTR.","292928002646","DD",0,0,1,0,0,0,2,0,0,0,0,0,0,3,6,0,3,1,2,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","00303","FAIRVIEW ELEM.","290100000303","DD",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","01906","COLE ELEM.","292928001906","DD",0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2900591","KIPP ST LOUIS PUBLIC SCHOOLS","03266","KIPP WISDOM ACADEMY","290059103266","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2928410","SMITHVILLE R-II","03341","EAGLE HEIGHTS ELEMENTARY","292841003341","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","02693","COLUMBIA ELEM. COMM. ED. CTR.","292928002693","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
